"","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","Landcover","START","END"
"1",0.1,1,33.7978,-109.95,187,1306861800,1306864380
"3",1361,6,34.16916667,-109.84805556,187,1435159200,1437472800
"4",0.1,1,33.9253,-109.9587,187,1151519160,1151530200
"5",0.1,1,34.2566,-109.6909,187,1440676560,1440698400
"6",0.6,2,34.0059,-109.8909,187,1151331300,1151343000
"7",0.1,1,33.825,-109.975,187,1306246680,1306247040
"8",0.1,1,34.18416667,-109.74,187,1214064000,1214067600
"12",0.1,1,35.24605,-109.32013,187,1337439720,1337447100
"13",0.25,1,33.86888889,-109.36972222,187,1149593400,1149687360
"15",0.2,1,33.7134,-109.697,187,1164105300,1164108600
"16",0.1,1,33.8317,-109.9625,187,1307187960,1307188800
"18",0.1,1,34.03416667,-109.4525,187,1148998500,1149001200
"19",0.4,2,33.8878,-109.9508,187,1304613240,1304676000
"20",0.2,1,33.84638889,-109.37888889,187,1149937200,1150024920
"22",0.2,1,33.7203,-109.9417,187,1322318400,1322319420
"23",0.1,1,33.8717,-109.9551,187,1163869860,1163877300
"24",0.1,1,33.89222222,-109.39611111,187,1149598800,1149680220
"25",0.1,1,34.17027778,-109.77305556,187,1310052600,1310061000
"26",0.1,1,34.255,-109.6925,187,1422190500,1422208800
"27",0.3,2,33.9431,-109.8445,187,1248351600,1248368400
"29",0.25,1,35.0154,-114.637,187,1409519220,1409528880
"30",0.01,1,34.8703,-114.5809,187,1399809780,1399852080
"31",0.1,1,34.12277778,-109.75527778,187,1184588400,1184594880
"32",0.5,2,33.7476,-109.559,187,1147699080,1147773600
"33",0.1,1,34.12972222,-109.76,187,1184596500,1184675940
"34",0.1,1,34.08861111,-109.5125,187,1149594180,1149615540
"35",0.1,1,33.73472222,-109.42111111,187,1153920600,1156424400
"36",0.1,1,33.8509,-109.7862,187,1122209400,1122226200
"37",0.1,1,33.90166667,-109.2675,187,1154001600,1154015100
"38",0.1,1,35.58461,-109.123,187,1374942000,1374955200
"39",0.1,1,33.8573,-109.9723,187,1167674400,1167681600
"40",0.5,2,34.075,-109.8679,187,1210513200,1210515300
"41",1,2,33.8223,-109.9715,187,1164374400,1164389400
"43",0.2,1,34.03388889,-109.36416667,187,1194874380,1194888000
"44",0.1,1,33.9639,-109.9234,187,1166266800,1166272200
"45",0.1,1,33.8311,-109.9811,187,1306342680,1306342980
"46",0.1,1,33.76388889,-109.39805556,187,1435516200,1435582800
"47",0.1,1,33.9825,-109.9529,187,1152826200,1153072800
"48",0.1,1,33.7845,-110.0248,187,1209490680,1209493560
"49",0.1,1,35.462,-109.154,187,1144501320,1146234600
"51",0.1,1,34.03,-109.9126,187,1166266800,1166274000
"52",0.1,1,35.5592,-109.0929,187,1121254260,1121258520
"53",0.1,1,33.8511,-109.9675,187,1301226720,1301228160
"54",0.25,1,33.92194444,-109.14916667,187,1153926000,1153934400
"55",0.1,1,33.8356,-109.9683,187,1604681700,1308222300
"56",1,2,33.80305556,-109.425,187,1252423800,1252494000
"57",0.01,1,34.9899,-114.5957,187,1399919340,1399938480
"58",0.3,2,33.865,-109.8265,187,1151675700,1151685000
"59",5.2,2,35.25797,-109.27346,187,1249838400,1249842600
"60",0.1,1,33.9214,-109.94,187,1338458400,1338474600
"61",0.1,1,34.20638889,-109.78194444,187,1343746800,1343833800
"62",3,2,34.20305556,-109.83805556,187,1440856500,1441376820
"63",0.1,1,34.0606,-109.8504,187,1162473660,1162485300
"65",1.5,2,33.8489,-109.9098,187,1248698700,1248797820
"66",0.1,1,33.9772,-110.0119,187,1342444980,1342534500
"67",0.2,1,33.804294,-109.981161,187,1307989800,1308070800
"68",0.1,1,34.2555,-109.692,187,1447521540,1447524000
"69",5.2,2,33.74527778,-109.14583333,187,1434459600,1434636000
"70",0.1,1,34.2647,-109.6832,187,1401896940,1401897720
"72",0.3,2,33.80675,-109.9181,187,1308142800,1308240000
"73",0.2,1,33.79236,-110.11097,187,1310924700,1310929500
"74",0.1,1,33.8023,-109.9515,187,1118757600,1118759700
"75",2,2,35.27547,-109.18201,187,1307396220,1307457960
"76",0.1,1,35.5436,-109.1126,187,1121873280,1121890020
"78",0.1,1,34.0964,-109.9108,187,1366548240,1366551120
"79",1,2,33.7836,-109.7689,187,1248259140,1248277020
"80",0.1,1,33.6764,-109.887,187,1147261740,1147275300
"81",0.1,1,33.83194444,-109.15416667,187,1182765600,1182772800
"83",0.2,1,33.8573,-109.9551,187,1210530300,1210531500
"85",0.2,1,33.9514,-109.8933,187,1310569560,1310583600
"86",0.1,1,33.9009,-109.9462,187,1141687860,1591167660
"87",0.2,1,33.67,-109.9289,187,1304790300,1304794800
"88",0.1,1,33.85666667,-109.19861111,187,1153751400,1153835460
"89",0.5,2,33.9991667,-109.391111,187,1289226600,1290428280
"90",0.1,1,33.832,-109.9673,187,1141474500,1141480800
"91",2.2,2,33.7303,-109.7562,187,1249901460,1250080200
"92",0.6,2,34.0214,-109.9548,187,1409314260,1409345100
"93",0.1,1,35.23999,-109.06424,187,1246189620,1246212000
"94",2,2,34.09656,-109.91983,187,1308138300,1308322020
"95",0.3,2,33.914411,-109.944967,187,1308150000,1308495600
"96",0.1,1,33.90055556,-109.12555556,187,1216983600,1217084400
"97",0.1,1,33.79156,-110.12,187,1310920200,1310988420
"98",0.1,1,33.9233,-109.7367,187,1309611000,1309692600
"100",0.1,1,34.2553,-109.6922,187,1434821100,1434823200
"101",0.1,1,34.04916667,-109.49805556,187,1182600000,1182601800
"102",633,5,33.70666667,-109.45861111,187,1249648200,1253530800
"103",0.2,1,33.8081,-110.0043,187,1153403400,1153420200
"106",0.65,2,33.92027778,-109.36111111,187,1149593400,1149764280
"107",0.1,1,34.0261111,-109.484167,187,1285848600,1285849200
"108",0.1,1,34.15972222,-109.77305556,187,1149780600,1149790500
"110",0.3,2,33.809689,-109.992894,187,1273847520,1273848600
"111",11,3,33.83722222,-109.0725,187,1333288800,1333366200
"112",0.25,1,34.175,-109.61222222,187,1147868100,1147889820
"113",0.1,1,35.03956,-109.26806,187,1244846040,1244847540
"114",0.1,1,33.9242,-109.7728,187,1247997960,1248017400
"115",2.5,2,33.76,-109.21527778,187,1128171600,1128189600
"116",0.1,1,33.875,-109.274167,187,1280062800,1280244720
"117",0.1,1,33.799197,-109.6856,187,1314355620,1314385200
