"","LATITUDE","LONGITUDE","Landcover","START","DURATION"
"1",33.7978,-109.95,187,1306861800,0.716666666666667
"3",34.16916667,-109.84805556,187,1435159200,642.666666666667
"4",33.9253,-109.9587,187,1151519160,3.06666666666667
"5",34.2566,-109.6909,187,1440676560,6.06666666666667
"6",34.0059,-109.8909,187,1151331300,3.25
"7",33.825,-109.975,187,1306246680,0.1
"8",34.18416667,-109.74,187,1214064000,1
"12",35.24605,-109.32013,187,1337439720,2.05
"13",33.86888889,-109.36972222,187,1149593400,26.1
"15",33.7134,-109.697,187,1164105300,0.916666666666667
"16",33.8317,-109.9625,187,1307187960,0.233333333333333
"18",34.03416667,-109.4525,187,1148998500,0.75
"19",33.8878,-109.9508,187,1304613240,17.4333333333333
"20",33.84638889,-109.37888889,187,1149937200,24.3666666666667
"22",33.7203,-109.9417,187,1322318400,0.283333333333333
"23",33.8717,-109.9551,187,1163869860,2.06666666666667
"24",33.89222222,-109.39611111,187,1149598800,22.6166666666667
"25",34.17027778,-109.77305556,187,1310052600,2.33333333333333
"26",34.255,-109.6925,187,1422190500,5.08333333333333
"27",33.9431,-109.8445,187,1248351600,4.66666666666667
"29",35.0154,-114.637,187,1409519220,2.68333333333333
"30",34.8703,-114.5809,187,1399809780,11.75
"31",34.12277778,-109.75527778,187,1184588400,1.8
"32",33.7476,-109.559,187,1147699080,20.7
"33",34.12972222,-109.76,187,1184596500,22.0666666666667
"34",34.08861111,-109.5125,187,1149594180,5.93333333333333
"35",33.73472222,-109.42111111,187,1153920600,695.5
"36",33.8509,-109.7862,187,1122209400,4.66666666666667
"37",33.90166667,-109.2675,187,1154001600,3.75
"38",35.58461,-109.123,187,1374942000,3.66666666666667
"39",33.8573,-109.9723,187,1167674400,2
"40",34.075,-109.8679,187,1210513200,0.583333333333333
"41",33.8223,-109.9715,187,1164374400,4.16666666666667
"43",34.03388889,-109.36416667,187,1194874380,3.78333333333333
"44",33.9639,-109.9234,187,1166266800,1.5
"45",33.8311,-109.9811,187,1306342680,0.0833333333333333
"46",33.76388889,-109.39805556,187,1435516200,18.5
"47",33.9825,-109.9529,187,1152826200,68.5
"48",33.7845,-110.0248,187,1209490680,0.8
"49",35.462,-109.154,187,1144501320,481.466666666667
"51",34.03,-109.9126,187,1166266800,2
"52",35.5592,-109.0929,187,1121254260,1.18333333333333
"53",33.8511,-109.9675,187,1301226720,0.4
"54",33.92194444,-109.14916667,187,1153926000,2.33333333333333
"55",33.8356,-109.9683,187,1604681700,-82349.8333333333
"56",33.80305556,-109.425,187,1252423800,19.5
"57",34.9899,-114.5957,187,1399919340,5.31666666666667
"58",33.865,-109.8265,187,1151675700,2.58333333333333
"59",35.25797,-109.27346,187,1249838400,1.16666666666667
"60",33.9214,-109.94,187,1338458400,4.5
"61",34.20638889,-109.78194444,187,1343746800,24.1666666666667
"62",34.20305556,-109.83805556,187,1440856500,144.533333333333
"63",34.0606,-109.8504,187,1162473660,3.23333333333333
"65",33.8489,-109.9098,187,1248698700,27.5333333333333
"66",33.9772,-110.0119,187,1342444980,24.8666666666667
"67",33.804294,-109.981161,187,1307989800,22.5
"68",34.2555,-109.692,187,1447521540,0.683333333333333
"69",33.74527778,-109.14583333,187,1434459600,49
"70",34.2647,-109.6832,187,1401896940,0.216666666666667
"72",33.80675,-109.9181,187,1308142800,27
"73",33.79236,-110.11097,187,1310924700,1.33333333333333
"74",33.8023,-109.9515,187,1118757600,0.583333333333333
"75",35.27547,-109.18201,187,1307396220,17.15
"76",35.5436,-109.1126,187,1121873280,4.65
"78",34.0964,-109.9108,187,1366548240,0.8
"79",33.7836,-109.7689,187,1248259140,4.96666666666667
"80",33.6764,-109.887,187,1147261740,3.76666666666667
"81",33.83194444,-109.15416667,187,1182765600,2
"83",33.8573,-109.9551,187,1210530300,0.333333333333333
"85",33.9514,-109.8933,187,1310569560,3.9
"86",33.9009,-109.9462,187,1141687860,124855.5
"87",33.67,-109.9289,187,1304790300,1.25
"88",33.85666667,-109.19861111,187,1153751400,23.35
"89",33.9991667,-109.391111,187,1289226600,333.8
"90",33.832,-109.9673,187,1141474500,1.75
"91",33.7303,-109.7562,187,1249901460,49.65
"92",34.0214,-109.9548,187,1409314260,8.56666666666667
"93",35.23999,-109.06424,187,1246189620,6.21666666666667
"94",34.09656,-109.91983,187,1308138300,51.0333333333333
"95",33.914411,-109.944967,187,1308150000,96
"96",33.90055556,-109.12555556,187,1216983600,28
"97",33.79156,-110.12,187,1310920200,18.95
"98",33.9233,-109.7367,187,1309611000,22.6666666666667
"100",34.2553,-109.6922,187,1434821100,0.583333333333333
"101",34.04916667,-109.49805556,187,1182600000,0.5
"102",33.70666667,-109.45861111,187,1249648200,1078.5
"103",33.8081,-110.0043,187,1153403400,4.66666666666667
"106",33.92027778,-109.36111111,187,1149593400,47.4666666666667
"107",34.0261111,-109.484167,187,1285848600,0.166666666666667
"108",34.15972222,-109.77305556,187,1149780600,2.75
"110",33.809689,-109.992894,187,1273847520,0.3
"111",33.83722222,-109.0725,187,1333288800,21.5
"112",34.175,-109.61222222,187,1147868100,6.03333333333333
"113",35.03956,-109.26806,187,1244846040,0.416666666666667
"114",33.9242,-109.7728,187,1247997960,5.4
"115",33.76,-109.21527778,187,1128171600,5
"116",33.875,-109.274167,187,1280062800,50.5333333333333
"117",33.799197,-109.6856,187,1314355620,8.21666666666667
"118",33.98333333,-109.45638889,187,1153738860,96.3833333333333
"119",33.7788,-109.503503,187,1313589480,73.0333333333333
"120",35.3509,-109.0429,187,1154026260,47.15
"121",33.8348,-109.9615,187,1146689100,0.25
"123",35.7286,-109.045,187,1368980400,1.35
"124",34.25444444,-109.74555556,187,1125679500,19.25
"126",33.9839,-109.9164,187,1339174920,215.966666666667
"127",33.7848,-110.0173,187,1120384980,12.95
"128",33.8445,-109.9523,187,1208967240,0.95
"129",34.0033,-109.7481,187,1310655600,71
"130",33.8772,-109.9656,187,1301410800,0.833333333333333
"131",33.5414,-110.2522,187,1215611700,44.9333333333333
"134",33.9358,-109.7842,187,1247998080,1.11666666666667
"136",33.7942,-109.8101,187,1248435360,5.9
"137",35.3022,-109.2745,187,1144924680,0.5
"139",33.87305556,-109.17027778,187,1405278000,17.15
"140",34.02416667,-109.35666667,187,1183051800,18.7166666666667
"142",33.8303,-109.9783,187,1305206400,0.166666666666667
"143",34.09583333,-109.57305556,187,1597107660,-103189.016666667
"145",34.15888889,-109.57277778,187,1435595160,2595.56666666667
"146",34.5537,-109.8002,187,1304865360,3.9
"147",34.2563,-109.6912,187,1437410940,1.18333333333333
"148",33.89994,-109.9661,187,1284663600,44.5
"149",35.45206,-109.14561,187,1343762880,17.55
"150",34.1063,-109.3214,187,1399135200,0.516666666666667
"151",33.8281,-109.8504,187,1215268200,1.5
"152",33.7923,-109.7895,187,1247916600,73
"153",34.17111111,-109.71333333,187,1401877800,2.41666666666667
"154",33.7948,-110.0365,187,1394982900,26.75
"155",35.47853,-109.13533,187,1449498240,1.55
"156",33.7817,-110.0294,187,1304857920,7.46666666666667
"157",33.88027778,-109.44055556,187,1153591200,114.65
"158",33.8257,-109.1296,187,1403363880,0.166666666666667
"159",33.7461,-109.775,187,1342443660,46.6
"161",34.01666667,-109.28972222,187,1146999600,0.616666666666667
"162",34.0583,-109.7189,187,1250948880,26.8666666666667
"163",33.7844,-109.9511,187,1305550800,1
"164",34.04944444,-109.49194444,187,1182510000,0.5
"165",33.7053,-109.659,187,1151413800,4.33333333333333
"166",34.19138889,-109.68333333,187,1444069740,3.01666666666667
"167",35.6595,-109.0573,187,1119468600,0.25
"168",34.06222222,-109.56083333,187,1407338280,121.583333333333
"169",34.15055556,-109.62916667,187,1216647360,23.1833333333333
"170",34.03305556,-109.50777778,187,1334156400,25.1833333333333
"171",33.8678,-109.4931,187,1118593800,25
"173",34.14527778,-109.81888889,187,1196168400,71
"174",34.0658333,-109.471667,187,1291290300,3.18333333333333
"175",33.9009,-109.9376,187,1165324440,2.6
"176",34.20916667,-109.75722222,187,1218024000,27.5
"177",34.0978,-109.912,187,1151328660,4.48333333333333
"178",33.7837,-109.9682,187,1119795000,0.166666666666667
"181",34.03583333,-109.38333333,187,1183050000,23
"182",33.7689,-109.5501,187,1152202380,21.0333333333333
"185",33.84722222,-109.32361111,187,1183203600,5.03333333333333
"186",33.68638889,-109.13666667,187,1123855200,244
"187",33.54583333,-109.08,187,1121530200,24.8333333333333
"188",34.0003,-109.9675,187,1374065760,51.0666666666667
"189",33.8312,-109.6468,187,1215191760,0.233333333333333
"190",33.7928,-109.9401,187,1146669060,1.81666666666667
"191",34.06277778,-109.38166667,187,1135609200,3
"192",34.76253,-109.56403,187,1339593600,6.66666666666667
"193",33.853461,-109.964011,187,1350679200,1.4
"194",33.80102,-109.65545,187,1223303040,24.6
"195",34.0565,-109.4574,187,1428420780,2.45
"197",33.82916667,-109.18527778,187,1249581600,1
"198",34.1187,-109.7634,187,1153667100,4.91666666666667
"199",34.076697,-109.735033,187,1314465540,309.683333333333
"201",33.9023,-109.7529,187,1122123600,25
"202",33.8289,-109.967,187,1400585400,2.5
